ЖУРНАЛ ОПЕРАЦИЙ (Cashflow) — проект Соня,,,,,,,,,,
"Каждый заход и расход денег фиксируется здесь. Дашборд, P&L и Счета считаются автоматически отсюда.",,,,,,,,,,
,,,,,,,,,,
№,Дата,Тип,Категория,Описание / источник,Счёт,Валюта,"Сумма
(в валюте)",Курс → USD,Сумма ($),-
48,2026-06-02,Расход,Команда / Подряд,"зп Юлі за червень, виплата в липні",ФОП-1,USD,"1 000,00","1,0000","$1 000,00",#REF!
49,,Расход,Команда / Подряд,ставка відділ продажу,,USD,"500,00","1,0000","$500,00",#REF!
50,,Расход,Команда / Подряд,відсоток відділу продажу за 30.06 включно,,UAH,"43 226,00","0,0227","$981,23",#REF!
49,2026-07-08,Расход,Выплата эксперту (Sony),дохід за червень,ФОП-1,UAH,"126 106,00","0,0220","$2 774,33",
51,2026-07-08,Расход,Выплата ПЦ (B&W),дохід за червень,ФОП-1,UAH,"126 106,00","0,0220","$2 774,33",
,,,,,,UAH,,,,
54,2026-07-05,Приход,Продажи продукта,Дебіторка,WayForPay,UAH,"17 413,00","0,0220","$383,09",$383
55,2026-07-06,Приход,Продажи продукта,Дебіторка,WayForPay,UAH,"23 125,00","0,0220","$508,75",$892
56,2026-07-08,Расход,Трафик / Реклама,оплата рк,ФОП-1,USD,"130,21","1,0000","$130,21",#REF!
57,2026-07-09,Расход,Трафик / Реклама,оплата рк,ФОП-1,USD,"118,48","1,0000","$118,48",#REF!
58,2026-07-10,Расход,Комиссия платёжных систем,Поповнення вебінар старс,ФОП-1,UAH,"447,00","0,0220","$9,83",#REF!
59,2026-07-11,Приход,Продажи продукта,Оплата флагману,WayForPay,UAH,"35 362,00","0,0220","$777,96",#REF!
60,2026-07-11,Приход,Продажи продукта,Оплата флагману,WayForPay,UAH,"35 362,00","0,0220","$777,96",#REF!
61,2026-07-11,Приход,Продажи продукта,Оплата флагману,WayForPay,UAH,"35 362,00","0,0220","$777,96",#REF!
62,2026-07-11,Расход,Сервисы (SendPulse и т.п.),оплата сенд пульс,ФОП-1,UAH,"2 504,04","0,0220","$55,09",#REF!
63,2026-07-15,Приход,Продажи продукта,Оплата Флагману Дебіторка,WayForPay,UAH,"7 108,00","0,0220","$156,38",#REF!
64,,Расход,Команда / Подряд,відсоток відділу продажу за 23.07 включно,,UAH,"46 389,00","0,0220","$1 020,56",#REF!
